event-id,visible,timestamp,location-long,location-lat,location-error-text,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2549644630,true,2014-03-14 21:55:03.000,-49.9,-15.3,"-18.45:-50.03:-10.8:-49.67","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644631,true,2014-03-15 09:07:50.000,-49.91,-14.85,"-18.45:-50.03:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644632,true,2014-03-15 21:51:40.000,-49.91,-14.85,"-18.45:-50.03:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644633,true,2014-03-16 09:05:42.000,-49.91,-14.85,"-18.45:-50.03:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644634,true,2014-03-16 21:54:34.000,-49.91,-14.85,"-18.45:-50.03:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644635,true,2014-03-17 09:04:32.000,-49.91,-13.5,"-18.45:-50.03:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644636,true,2014-03-17 21:49:33.000,-49.88,-15.75,"-18.45:-50.03:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644637,true,2014-03-18 09:11:21.000,-49.88,-15.3,"-18.45:-50.11:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644638,true,2014-03-18 21:51:03.000,-49.88,-15.75,"-18.45:-50.18:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644639,true,2014-03-19 09:09:08.000,-49.88,-15.75,"-18.45:-50.18:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644640,true,2014-03-19 21:50:31.000,-49.88,-15.75,"-18.45:-50.18:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
2549644641,true,2014-03-20 09:06:21.000,-49.9,-15.75,"-18.45:-50.19:-10.8:-49.8","solar-geolocator","Hirundo rustica","H974","H974","Argentine Barn Swallows"
